"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 20 21:45:49 GMT 2024","Thu Jun 20 21:45:50 GMT 2024","1131","chromium","multipleElementLoc.spec.js","","","","multiple elements product",""
"passed","Thu Jun 20 21:45:52 GMT 2024","Thu Jun 20 21:45:55 GMT 2024","2792","chromium","my-firstTest.spec.js","","","","drag and drop 1",""
"broken","Thu Jun 20 21:57:10 GMT 2024","Thu Jun 20 21:57:40 GMT 2024","30142","webkit","my-firstTest.spec.js","","","","Notification Message",""
"failed","Thu Jun 20 21:49:20 GMT 2024","Thu Jun 20 21:49:21 GMT 2024","684","chromium","myPGO_test.spec.js","","","","login test",""
"passed","Thu Jun 20 21:49:21 GMT 2024","Thu Jun 20 21:49:23 GMT 2024","2230","firefox","Assertion.spec.js","","","","Assertion",""
"failed","Thu Jun 20 21:58:02 GMT 2024","Thu Jun 20 21:58:03 GMT 2024","1268","webkit","my-firstTest.spec.js","","","","drop down",""
"passed","Thu Jun 20 21:53:30 GMT 2024","Thu Jun 20 21:53:34 GMT 2024","3632","webkit","Assertion.spec.js","","","","Assertion",""
"passed","Thu Jun 20 21:45:46 GMT 2024","Thu Jun 20 21:45:48 GMT 2024","1264","chromium","Assertion.spec.js","","","","Assertion",""
"passed","Thu Jun 20 21:49:11 GMT 2024","Thu Jun 20 21:49:14 GMT 2024","2879","chromium","my-firstTest.spec.js","","","","dynamic-table11",""
"passed","Thu Jun 20 21:53:35 GMT 2024","Thu Jun 20 21:53:36 GMT 2024","1324","webkit","example.spec.js","","","","get started link",""
"passed","Thu Jun 20 21:49:27 GMT 2024","Thu Jun 20 21:49:27 GMT 2024","454","firefox","my-firstTest.spec.js","","","","Invalid login",""
"passed","Thu Jun 20 21:49:24 GMT 2024","Thu Jun 20 21:49:25 GMT 2024","1142","firefox","example.spec.js","","","","get started link",""
"broken","Thu Jun 20 21:55:38 GMT 2024","Thu Jun 20 21:56:08 GMT 2024","30144","webkit","my-firstTest.spec.js","","","","add-remove-elements",""
"passed","Thu Jun 20 21:54:33 GMT 2024","Thu Jun 20 21:54:37 GMT 2024","4498","webkit","my-firstTest.spec.js","","","","Web Inputs",""
"passed","Thu Jun 20 21:54:07 GMT 2024","Thu Jun 20 21:54:09 GMT 2024","2130","webkit","multipleElementLoc.spec.js","","","","multiple elements product",""
"passed","Thu Jun 20 21:53:34 GMT 2024","Thu Jun 20 21:53:35 GMT 2024","948","webkit","example.spec.js","","","","has title",""
"passed","Thu Jun 20 21:54:12 GMT 2024","Thu Jun 20 21:54:16 GMT 2024","4041","webkit","my-firstTest.spec.js","","","","drag and drop 1",""
"passed","Thu Jun 20 21:49:23 GMT 2024","Thu Jun 20 21:49:24 GMT 2024","684","firefox","example.spec.js","","","","has title",""
"passed","Thu Jun 20 21:49:25 GMT 2024","Thu Jun 20 21:49:27 GMT 2024","1695","firefox","multipleElementLoc.spec.js","","","","multiple elements product",""
"passed","Thu Jun 20 21:45:50 GMT 2024","Thu Jun 20 21:45:51 GMT 2024","333","chromium","my-firstTest.spec.js","","","","Invalid login",""
"failed","Thu Jun 20 21:49:10 GMT 2024","Thu Jun 20 21:49:11 GMT 2024","1018","chromium","my-firstTest.spec.js","","","","dynamic-table",""
"broken","Thu Jun 20 21:48:36 GMT 2024","Thu Jun 20 21:49:06 GMT 2024","30194","chromium","my-firstTest.spec.js","","","","Notification Message",""
"broken","Thu Jun 20 21:50:45 GMT 2024","Thu Jun 20 21:51:16 GMT 2024","31065","firefox","my-firstTest.spec.js","","","","add-remove-elements",""
"passed","Thu Jun 20 21:49:39 GMT 2024","Thu Jun 20 21:49:43 GMT 2024","3281","firefox","my-firstTest.spec.js","","","","Web Inputs",""
"passed","Thu Jun 20 21:49:29 GMT 2024","Thu Jun 20 21:49:32 GMT 2024","2997","firefox","my-firstTest.spec.js","","","","drag and drop 1",""
"passed","Thu Jun 20 21:46:00 GMT 2024","Thu Jun 20 21:46:03 GMT 2024","3001","chromium","my-firstTest.spec.js","","","","Web Inputs",""
"passed","Thu Jun 20 21:53:02 GMT 2024","Thu Jun 20 21:53:06 GMT 2024","4158","firefox","my-firstTest.spec.js","","","","dynamic-table11",""
"passed","Thu Jun 20 21:45:48 GMT 2024","Thu Jun 20 21:45:49 GMT 2024","816","chromium","example.spec.js","","","","get started link",""
