"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 02 13:04:20 GMT 2024","Tue Jul 02 13:04:22 GMT 2024","1821","chromium","sampleTest.spec.js","","","","Web table and dates",""
"passed","Tue Jul 02 13:04:34 GMT 2024","Tue Jul 02 13:04:37 GMT 2024","2704","firefox","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Tue Jul 02 13:04:38 GMT 2024","Tue Jul 02 13:04:41 GMT 2024","2328","firefox","sampleTest.spec.js","","","","Web table and dates",""
"passed","Tue Jul 02 13:04:19 GMT 2024","Tue Jul 02 13:04:20 GMT 2024","1047","chromium","sampleTest.spec.js","","","","Drop down",""
"passed","Tue Jul 02 13:04:17 GMT 2024","Tue Jul 02 13:04:19 GMT 2024","1485","chromium","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Tue Jul 02 13:05:00 GMT 2024","Tue Jul 02 13:05:04 GMT 2024","3550","webkit","sampleTest.spec.js","","","","Web table and dates",""
"passed","Tue Jul 02 13:05:04 GMT 2024","Tue Jul 02 13:05:12 GMT 2024","7737","webkit","sampleTest.spec.js","","","","New window Alert pop up",""
"passed","Tue Jul 02 13:04:37 GMT 2024","Tue Jul 02 13:04:38 GMT 2024","1535","firefox","sampleTest.spec.js","","","","Drop down",""
"passed","Tue Jul 02 13:04:22 GMT 2024","Tue Jul 02 13:04:29 GMT 2024","7084","chromium","sampleTest.spec.js","","","","New window Alert pop up",""
"passed","Tue Jul 02 13:04:56 GMT 2024","Tue Jul 02 13:04:58 GMT 2024","2392","webkit","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Tue Jul 02 13:04:58 GMT 2024","Tue Jul 02 13:05:00 GMT 2024","1780","webkit","sampleTest.spec.js","","","","Drop down",""
"passed","Tue Jul 02 13:04:41 GMT 2024","Tue Jul 02 13:04:49 GMT 2024","7758","firefox","sampleTest.spec.js","","","","New window Alert pop up",""
