"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 20 21:25:14 GMT 2024","Thu Jun 20 21:25:16 GMT 2024","1871","firefox","Assertion.spec.js","","","","Assertion",""
"passed","Thu Jun 20 21:25:13 GMT 2024","Thu Jun 20 21:25:14 GMT 2024","902","chromium","Assertion.spec.js","","","","Assertion",""
"passed","Thu Jun 20 21:25:18 GMT 2024","Thu Jun 20 21:25:20 GMT 2024","1906","webkit","Assertion.spec.js","","","","Assertion",""
