"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 20 21:50:54 GMT 2024","Thu Jun 20 21:50:55 GMT 2024","760","firefox","example.spec.js","","","","has title",""
"passed","Thu Jun 20 21:47:19 GMT 2024","Thu Jun 20 21:47:20 GMT 2024","825","chromium","example.spec.js","","","","get started link",""
"passed","Thu Jun 20 21:50:58 GMT 2024","Thu Jun 20 21:50:59 GMT 2024","509","firefox","my-firstTest.spec.js","","","","Invalid login",""
"passed","Thu Jun 20 21:47:31 GMT 2024","Thu Jun 20 21:47:34 GMT 2024","2766","chromium","my-firstTest.spec.js","","","","Web Inputs",""
"passed","Thu Jun 20 21:54:59 GMT 2024","Thu Jun 20 21:55:04 GMT 2024","5153","webkit","Assertion.spec.js","","","","Assertion",""
"passed","Thu Jun 20 21:50:56 GMT 2024","Thu Jun 20 21:50:58 GMT 2024","1625","firefox","multipleElementLoc.spec.js","","","","multiple elements product",""
"passed","Thu Jun 20 21:55:05 GMT 2024","Thu Jun 20 21:55:06 GMT 2024","1398","webkit","example.spec.js","","","","get started link",""
"broken","Thu Jun 20 21:52:14 GMT 2024","Thu Jun 20 21:52:45 GMT 2024","31013","firefox","my-firstTest.spec.js","","","","add-remove-elements",""
"passed","Thu Jun 20 21:58:36 GMT 2024","Thu Jun 20 21:58:40 GMT 2024","3997","webkit","my-firstTest.spec.js","","","","dynamic-table11",""
"passed","Thu Jun 20 21:55:06 GMT 2024","Thu Jun 20 21:55:09 GMT 2024","2324","webkit","multipleElementLoc.spec.js","","","","multiple elements product",""
"passed","Thu Jun 20 21:55:09 GMT 2024","Thu Jun 20 21:55:09 GMT 2024","531","webkit","my-firstTest.spec.js","","","","Invalid login",""
"broken","Thu Jun 20 21:56:28 GMT 2024","Thu Jun 20 21:56:58 GMT 2024","30145","webkit","my-firstTest.spec.js","","","","add-remove-elements",""
"passed","Thu Jun 20 21:47:28 GMT 2024","Thu Jun 20 21:47:31 GMT 2024","2515","chromium","my-firstTest.spec.js","","","","click hiding button",""
"passed","Thu Jun 20 21:51:06 GMT 2024","Thu Jun 20 21:51:09 GMT 2024","2835","firefox","my-firstTest.spec.js","","","","click hiding button",""
"broken","Thu Jun 20 21:48:35 GMT 2024","Thu Jun 20 21:49:05 GMT 2024","30166","chromium","my-firstTest.spec.js","","","","add-remove-elements",""
"passed","Thu Jun 20 21:55:23 GMT 2024","Thu Jun 20 21:55:27 GMT 2024","4433","webkit","my-firstTest.spec.js","","","","Web Inputs",""
"passed","Thu Jun 20 21:55:11 GMT 2024","Thu Jun 20 21:55:15 GMT 2024","3787","webkit","my-firstTest.spec.js","","","","drag and drop 1",""
"failed","Thu Jun 20 21:50:47 GMT 2024","Thu Jun 20 21:50:48 GMT 2024","1080","chromium","my-firstTest.spec.js","","","","drop down",""
"passed","Thu Jun 20 21:50:41 GMT 2024","Thu Jun 20 21:50:44 GMT 2024","3071","chromium","my-firstTest.spec.js","","","","dynamic-table11",""
"passed","Thu Jun 20 21:55:15 GMT 2024","Thu Jun 20 21:55:19 GMT 2024","4009","webkit","my-firstTest.spec.js","","","","drag and drop 2",""
"passed","Thu Jun 20 21:50:52 GMT 2024","Thu Jun 20 21:50:54 GMT 2024","2402","firefox","Assertion.spec.js","","","","Assertion",""
"passed","Thu Jun 20 21:51:03 GMT 2024","Thu Jun 20 21:51:06 GMT 2024","2999","firefox","my-firstTest.spec.js","","","","drag and drop 2",""
"failed","Thu Jun 20 21:54:28 GMT 2024","Thu Jun 20 21:54:31 GMT 2024","3393","firefox","my-firstTest.spec.js","","","","dynamic-table",""
"passed","Thu Jun 20 21:47:20 GMT 2024","Thu Jun 20 21:47:21 GMT 2024","1058","chromium","multipleElementLoc.spec.js","","","","multiple elements product",""
"passed","Thu Jun 20 21:51:09 GMT 2024","Thu Jun 20 21:51:12 GMT 2024","3099","firefox","my-firstTest.spec.js","","","","Web Inputs",""
"passed","Thu Jun 20 21:47:21 GMT 2024","Thu Jun 20 21:47:23 GMT 2024","1295","chromium","my-firstTest.spec.js","","","","Valid login",""
"failed","Thu Jun 20 21:58:47 GMT 2024","Thu Jun 20 21:58:48 GMT 2024","745","webkit","myPGO_test.spec.js","","","","login test",""
"passed","Thu Jun 20 21:54:32 GMT 2024","Thu Jun 20 21:54:36 GMT 2024","4253","firefox","my-firstTest.spec.js","","","","dynamic-table11",""
"passed","Thu Jun 20 21:47:21 GMT 2024","Thu Jun 20 21:47:21 GMT 2024","335","chromium","my-firstTest.spec.js","","","","Invalid login",""
"failed","Thu Jun 20 21:58:34 GMT 2024","Thu Jun 20 21:58:35 GMT 2024","1417","webkit","my-firstTest.spec.js","","","","dynamic-table",""
"failed","Thu Jun 20 21:50:40 GMT 2024","Thu Jun 20 21:50:41 GMT 2024","1059","chromium","my-firstTest.spec.js","","","","dynamic-table",""
"broken","Thu Jun 20 21:50:06 GMT 2024","Thu Jun 20 21:50:37 GMT 2024","30193","chromium","my-firstTest.spec.js","","","","Notification Message",""
"passed","Thu Jun 20 21:55:19 GMT 2024","Thu Jun 20 21:55:23 GMT 2024","3433","webkit","my-firstTest.spec.js","","","","click hiding button",""
"failed","Thu Jun 20 21:58:43 GMT 2024","Thu Jun 20 21:58:44 GMT 2024","1303","webkit","my-firstTest.spec.js","","","","drop down",""
"passed","Thu Jun 20 21:51:00 GMT 2024","Thu Jun 20 21:51:03 GMT 2024","2859","firefox","my-firstTest.spec.js","","","","drag and drop 1",""
"passed","Thu Jun 20 21:50:55 GMT 2024","Thu Jun 20 21:50:56 GMT 2024","1264","firefox","example.spec.js","","","","get started link",""
"passed","Thu Jun 20 21:47:23 GMT 2024","Thu Jun 20 21:47:25 GMT 2024","2701","chromium","my-firstTest.spec.js","","","","drag and drop 1",""
"passed","Thu Jun 20 21:50:59 GMT 2024","Thu Jun 20 21:51:00 GMT 2024","1638","firefox","my-firstTest.spec.js","","","","Valid login",""
"passed","Thu Jun 20 21:55:09 GMT 2024","Thu Jun 20 21:55:11 GMT 2024","2198","webkit","my-firstTest.spec.js","","","","Valid login",""
"passed","Thu Jun 20 21:47:25 GMT 2024","Thu Jun 20 21:47:28 GMT 2024","2846","chromium","my-firstTest.spec.js","","","","drag and drop 2",""
"passed","Thu Jun 20 21:47:16 GMT 2024","Thu Jun 20 21:47:19 GMT 2024","3105","chromium","Assertion.spec.js","","","","Assertion",""
"passed","Thu Jun 20 21:55:04 GMT 2024","Thu Jun 20 21:55:05 GMT 2024","800","webkit","example.spec.js","","","","has title",""
"failed","Thu Jun 20 21:54:44 GMT 2024","Thu Jun 20 21:54:47 GMT 2024","3713","firefox","my-firstTest.spec.js","","","","drop down",""
"failed","Thu Jun 20 21:54:55 GMT 2024","Thu Jun 20 21:54:59 GMT 2024","3351","firefox","myPGO_test.spec.js","","","","login test",""
"passed","Thu Jun 20 21:47:19 GMT 2024","Thu Jun 20 21:47:19 GMT 2024","508","chromium","example.spec.js","","","","has title",""
"broken","Thu Jun 20 21:58:00 GMT 2024","Thu Jun 20 21:58:30 GMT 2024","30139","webkit","my-firstTest.spec.js","","","","Notification Message",""
"failed","Thu Jun 20 21:50:51 GMT 2024","Thu Jun 20 21:50:52 GMT 2024","775","chromium","myPGO_test.spec.js","","","","login test",""
"broken","Thu Jun 20 21:53:49 GMT 2024","Thu Jun 20 21:54:20 GMT 2024","31000","firefox","my-firstTest.spec.js","","","","Notification Message",""
