"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 05 12:25:33 GMT 2024","Fri Jul 05 12:25:34 GMT 2024","1495","chromium","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 12:25:46 GMT 2024","Fri Jul 05 12:25:56 GMT 2024","9838","webkit","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 12:25:56 GMT 2024","Fri Jul 05 12:25:58 GMT 2024","2593","webkit","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 12:25:35 GMT 2024","Fri Jul 05 12:25:40 GMT 2024","5125","firefox","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 12:25:29 GMT 2024","Fri Jul 05 12:25:33 GMT 2024","3610","chromium","sampleTest.spec.js","","","","Drop down",""
"broken","Fri Jul 05 12:26:46 GMT 2024","Fri Jul 05 12:27:17 GMT 2024","31446","firefox","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 12:25:35 GMT 2024","Fri Jul 05 12:25:40 GMT 2024","5063","firefox","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 12:25:33 GMT 2024","Fri Jul 05 12:25:34 GMT 2024","1468","chromium","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 12:25:40 GMT 2024","Fri Jul 05 12:25:43 GMT 2024","2637","firefox","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 12:25:58 GMT 2024","Fri Jul 05 12:26:01 GMT 2024","2432","webkit","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 12:26:01 GMT 2024","Fri Jul 05 12:26:09 GMT 2024","8217","webkit","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 12:25:40 GMT 2024","Fri Jul 05 12:25:44 GMT 2024","4550","firefox","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 12:25:29 GMT 2024","Fri Jul 05 12:25:33 GMT 2024","3550","chromium","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 12:25:55 GMT 2024","Fri Jul 05 12:26:01 GMT 2024","5268","webkit","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 12:25:34 GMT 2024","Fri Jul 05 12:25:42 GMT 2024","7972","chromium","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 12:25:29 GMT 2024","Fri Jul 05 12:25:34 GMT 2024","4903","chromium","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 12:25:43 GMT 2024","Fri Jul 05 12:25:47 GMT 2024","4138","firefox","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 12:25:48 GMT 2024","Fri Jul 05 12:25:55 GMT 2024","7153","webkit","sampleTest.spec.js","","","","Drop down",""
