"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 04 16:53:05 GMT 2024","Thu Jul 04 16:53:07 GMT 2024","1624","firefox","sampleTest.spec.js","","","","Drop down",""
"broken","Thu Jul 04 16:54:17 GMT 2024","Thu Jul 04 16:54:49 GMT 2024","32221","firefox","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Thu Jul 04 16:51:14 GMT 2024","Thu Jul 04 16:51:15 GMT 2024","1208","chromium","sampleTest.spec.js","","","","Drop down",""
"passed","Thu Jul 04 16:55:09 GMT 2024","Thu Jul 04 16:55:10 GMT 2024","1465","webkit","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Thu Jul 04 16:53:09 GMT 2024","Thu Jul 04 16:53:10 GMT 2024","1401","firefox","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Thu Jul 04 16:53:10 GMT 2024","Thu Jul 04 16:53:12 GMT 2024","1468","firefox","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Thu Jul 04 16:51:18 GMT 2024","Thu Jul 04 16:51:19 GMT 2024","1056","chromium","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"failed","Thu Jul 04 16:54:59 GMT 2024","Thu Jul 04 16:55:01 GMT 2024","2449","webkit","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Thu Jul 04 16:55:04 GMT 2024","Thu Jul 04 16:55:07 GMT 2024","3543","webkit","sampleTest.spec.js","","","","Web table and dates",""
"broken","Thu Jul 04 16:52:23 GMT 2024","Thu Jul 04 16:52:54 GMT 2024","31100","chromium","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"broken","Thu Jul 04 16:56:13 GMT 2024","Thu Jul 04 16:56:44 GMT 2024","31209","webkit","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Thu Jul 04 16:51:11 GMT 2024","Thu Jul 04 16:51:14 GMT 2024","2733","chromium","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Thu Jul 04 16:53:07 GMT 2024","Thu Jul 04 16:53:09 GMT 2024","2338","firefox","sampleTest.spec.js","","","","Web table and dates",""
"passed","Thu Jul 04 16:53:02 GMT 2024","Thu Jul 04 16:53:05 GMT 2024","2793","firefox","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Thu Jul 04 16:51:15 GMT 2024","Thu Jul 04 16:51:18 GMT 2024","2888","chromium","sampleTest.spec.js","","","","Web table and dates",""
"passed","Thu Jul 04 16:51:19 GMT 2024","Thu Jul 04 16:51:20 GMT 2024","907","chromium","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Thu Jul 04 16:55:02 GMT 2024","Thu Jul 04 16:55:04 GMT 2024","1904","webkit","sampleTest.spec.js","","","","Drop down",""
"passed","Thu Jul 04 16:55:07 GMT 2024","Thu Jul 04 16:55:09 GMT 2024","1557","webkit","sampleTest.spec.js","","","","Confirmation alert @prompt",""
