"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 05 12:12:34 GMT 2024","Fri Jul 05 12:12:37 GMT 2024","3155","firefox","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 12:12:26 GMT 2024","Fri Jul 05 12:12:31 GMT 2024","5354","firefox","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 12:12:26 GMT 2024","Fri Jul 05 12:12:31 GMT 2024","5050","firefox","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 12:12:54 GMT 2024","Fri Jul 05 12:12:57 GMT 2024","2232","webkit","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 12:12:57 GMT 2024","Fri Jul 05 12:13:01 GMT 2024","4461","webkit","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 12:12:21 GMT 2024","Fri Jul 05 12:12:24 GMT 2024","2526","chromium","sampleTest.spec.js","","","","Drop down",""
"failed","Fri Jul 05 12:13:46 GMT 2024","Fri Jul 05 12:13:55 GMT 2024","8994","webkit","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 12:12:21 GMT 2024","Fri Jul 05 12:12:25 GMT 2024","4107","chromium","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 12:12:24 GMT 2024","Fri Jul 05 12:12:25 GMT 2024","1554","chromium","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 12:12:21 GMT 2024","Fri Jul 05 12:12:24 GMT 2024","2702","chromium","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 12:12:51 GMT 2024","Fri Jul 05 12:12:54 GMT 2024","3329","webkit","sampleTest.spec.js","","","","Web form and radio button",""
"broken","Fri Jul 05 12:13:29 GMT 2024","Fri Jul 05 12:14:00 GMT 2024","31124","chromium","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 12:12:24 GMT 2024","Fri Jul 05 12:12:25 GMT 2024","1640","chromium","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 12:12:31 GMT 2024","Fri Jul 05 12:12:36 GMT 2024","5010","firefox","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 12:13:03 GMT 2024","Fri Jul 05 12:13:06 GMT 2024","2234","webkit","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 12:13:01 GMT 2024","Fri Jul 05 12:13:03 GMT 2024","2240","webkit","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 12:12:31 GMT 2024","Fri Jul 05 12:12:34 GMT 2024","2921","firefox","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"broken","Fri Jul 05 12:13:44 GMT 2024","Fri Jul 05 12:14:17 GMT 2024","32283","firefox","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
