"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 05 13:33:44 GMT 2024","Fri Jul 05 13:33:46 GMT 2024","1526","chromium","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 13:34:13 GMT 2024","Fri Jul 05 13:34:23 GMT 2024","9404","webkit","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 13:33:44 GMT 2024","Fri Jul 05 13:33:46 GMT 2024","1580","chromium","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 13:33:42 GMT 2024","Fri Jul 05 13:33:44 GMT 2024","2506","chromium","sampleTest.spec.js","","","","Drop down",""
"broken","Fri Jul 05 13:34:59 GMT 2024","Fri Jul 05 13:35:31 GMT 2024","31510","firefox","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 13:34:08 GMT 2024","Fri Jul 05 13:34:13 GMT 2024","5668","webkit","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 13:34:15 GMT 2024","Fri Jul 05 13:34:20 GMT 2024","4354","webkit","sampleTest.spec.js","","","","Storage state",""
"passed","Fri Jul 05 13:33:47 GMT 2024","Fri Jul 05 13:33:51 GMT 2024","4553","firefox","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 13:33:57 GMT 2024","Fri Jul 05 13:34:01 GMT 2024","4150","firefox","sampleTest.spec.js","","","","Storage state",""
"passed","Fri Jul 05 13:34:11 GMT 2024","Fri Jul 05 13:34:13 GMT 2024","2437","webkit","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 13:33:41 GMT 2024","Fri Jul 05 13:33:45 GMT 2024","3804","chromium","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 13:33:42 GMT 2024","Fri Jul 05 13:33:44 GMT 2024","2673","chromium","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 13:33:49 GMT 2024","Fri Jul 05 13:33:54 GMT 2024","5387","firefox","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 13:34:03 GMT 2024","Fri Jul 05 13:34:08 GMT 2024","5079","webkit","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 13:34:07 GMT 2024","Fri Jul 05 13:34:11 GMT 2024","3506","webkit","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 13:33:55 GMT 2024","Fri Jul 05 13:34:00 GMT 2024","5188","firefox","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 13:33:51 GMT 2024","Fri Jul 05 13:33:56 GMT 2024","4439","firefox","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 13:33:54 GMT 2024","Fri Jul 05 13:33:57 GMT 2024","2659","firefox","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 13:33:46 GMT 2024","Fri Jul 05 13:33:48 GMT 2024","2483","chromium","sampleTest.spec.js","","","","Storage state",""
"passed","Fri Jul 05 13:33:45 GMT 2024","Fri Jul 05 13:33:54 GMT 2024","8858","chromium","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 13:34:13 GMT 2024","Fri Jul 05 13:34:15 GMT 2024","2138","webkit","sampleTest.spec.js","","","","Alert @prompt",""
