"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 05 13:37:30 GMT 2024","Fri Jul 05 13:37:39 GMT 2024","9045","webkit","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 13:37:09 GMT 2024","Fri Jul 05 13:37:13 GMT 2024","4522","firefox","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 13:37:02 GMT 2024","Fri Jul 05 13:37:04 GMT 2024","1835","chromium","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 13:37:14 GMT 2024","Fri Jul 05 13:37:18 GMT 2024","3706","firefox","sampleTest.spec.js","","","","Storage state",""
"passed","Fri Jul 05 13:36:59 GMT 2024","Fri Jul 05 13:37:03 GMT 2024","3928","chromium","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 13:37:27 GMT 2024","Fri Jul 05 13:37:30 GMT 2024","2429","webkit","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 13:37:13 GMT 2024","Fri Jul 05 13:37:19 GMT 2024","5906","firefox","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 13:37:20 GMT 2024","Fri Jul 05 13:37:25 GMT 2024","4729","webkit","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 13:36:59 GMT 2024","Fri Jul 05 13:37:02 GMT 2024","2617","chromium","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 13:37:32 GMT 2024","Fri Jul 05 13:37:35 GMT 2024","3880","webkit","sampleTest.spec.js","","","","Storage state",""
"passed","Fri Jul 05 13:37:30 GMT 2024","Fri Jul 05 13:37:32 GMT 2024","2052","webkit","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 13:37:12 GMT 2024","Fri Jul 05 13:37:14 GMT 2024","2521","firefox","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 13:37:06 GMT 2024","Fri Jul 05 13:37:12 GMT 2024","5222","firefox","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 13:37:03 GMT 2024","Fri Jul 05 13:37:06 GMT 2024","2488","chromium","sampleTest.spec.js","","","","Storage state",""
"passed","Fri Jul 05 13:37:02 GMT 2024","Fri Jul 05 13:37:03 GMT 2024","1686","chromium","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"broken","Fri Jul 05 13:38:17 GMT 2024","Fri Jul 05 13:38:48 GMT 2024","31459","firefox","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 13:37:25 GMT 2024","Fri Jul 05 13:37:30 GMT 2024","5008","webkit","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 13:36:59 GMT 2024","Fri Jul 05 13:37:02 GMT 2024","2664","chromium","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 13:37:03 GMT 2024","Fri Jul 05 13:37:12 GMT 2024","9070","chromium","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 13:37:20 GMT 2024","Fri Jul 05 13:37:27 GMT 2024","7338","webkit","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 13:37:04 GMT 2024","Fri Jul 05 13:37:09 GMT 2024","4620","firefox","sampleTest.spec.js","","","","Web form and radio button",""
