"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 04 17:00:47 GMT 2024","Thu Jul 04 17:00:50 GMT 2024","2312","firefox","sampleTest.spec.js","","","","Web table and dates",""
"passed","Thu Jul 04 16:58:59 GMT 2024","Thu Jul 04 16:59:00 GMT 2024","947","chromium","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Thu Jul 04 16:58:55 GMT 2024","Thu Jul 04 16:58:56 GMT 2024","1068","chromium","sampleTest.spec.js","","","","Drop down",""
"passed","Thu Jul 04 17:00:43 GMT 2024","Thu Jul 04 17:00:46 GMT 2024","2581","firefox","sampleTest.spec.js","","","","Web form and radio button",""
"broken","Thu Jul 04 17:03:47 GMT 2024","Thu Jul 04 17:04:19 GMT 2024","31218","webkit","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Thu Jul 04 17:02:38 GMT 2024","Thu Jul 04 17:02:41 GMT 2024","3454","webkit","sampleTest.spec.js","","","","Web table and dates",""
"broken","Thu Jul 04 17:01:57 GMT 2024","Thu Jul 04 17:02:30 GMT 2024","32146","firefox","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Thu Jul 04 17:02:36 GMT 2024","Thu Jul 04 17:02:38 GMT 2024","1657","webkit","sampleTest.spec.js","","","","Drop down",""
"passed","Thu Jul 04 17:00:51 GMT 2024","Thu Jul 04 17:00:53 GMT 2024","1452","firefox","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Thu Jul 04 17:02:30 GMT 2024","Thu Jul 04 17:02:36 GMT 2024","6134","webkit","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Thu Jul 04 16:58:56 GMT 2024","Thu Jul 04 16:58:58 GMT 2024","1788","chromium","sampleTest.spec.js","","","","Web table and dates",""
"broken","Thu Jul 04 17:00:03 GMT 2024","Thu Jul 04 17:00:34 GMT 2024","31076","chromium","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Thu Jul 04 17:00:46 GMT 2024","Thu Jul 04 17:00:47 GMT 2024","1524","firefox","sampleTest.spec.js","","","","Drop down",""
"passed","Thu Jul 04 17:00:50 GMT 2024","Thu Jul 04 17:00:51 GMT 2024","1452","firefox","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Thu Jul 04 17:02:43 GMT 2024","Thu Jul 04 17:02:44 GMT 2024","1438","webkit","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Thu Jul 04 16:58:58 GMT 2024","Thu Jul 04 16:58:59 GMT 2024","945","chromium","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Thu Jul 04 16:58:54 GMT 2024","Thu Jul 04 16:58:55 GMT 2024","1610","chromium","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Thu Jul 04 17:02:41 GMT 2024","Thu Jul 04 17:02:43 GMT 2024","1563","webkit","sampleTest.spec.js","","","","Confirmation alert @prompt",""
