"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 05 02:13:15 GMT 2024","Fri Jul 05 02:13:47 GMT 2024","31046","chromium","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 02:12:10 GMT 2024","Fri Jul 05 02:12:12 GMT 2024","1134","chromium","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 02:14:06 GMT 2024","Fri Jul 05 02:14:08 GMT 2024","1644","firefox","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 02:12:12 GMT 2024","Fri Jul 05 02:12:13 GMT 2024","1143","chromium","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 02:12:07 GMT 2024","Fri Jul 05 02:12:08 GMT 2024","1270","chromium","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 02:12:08 GMT 2024","Fri Jul 05 02:12:10 GMT 2024","2023","chromium","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 02:16:09 GMT 2024","Fri Jul 05 02:16:11 GMT 2024","2144","webkit","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 02:16:11 GMT 2024","Fri Jul 05 02:16:14 GMT 2024","3752","webkit","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 02:16:16 GMT 2024","Fri Jul 05 02:16:18 GMT 2024","1644","webkit","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 02:14:02 GMT 2024","Fri Jul 05 02:14:04 GMT 2024","2639","firefox","sampleTest.spec.js","","","","Web table and dates",""
"failed","Fri Jul 05 02:16:05 GMT 2024","Fri Jul 05 02:16:08 GMT 2024","2760","webkit","sampleTest.spec.js","","","","Web form and radio button",""
"failed","Fri Jul 05 02:13:55 GMT 2024","Fri Jul 05 02:13:59 GMT 2024","3421","firefox","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 02:12:03 GMT 2024","Fri Jul 05 02:12:07 GMT 2024","3719","chromium","sampleTest.spec.js","","","","Web form and radio button",""
"broken","Fri Jul 05 02:15:13 GMT 2024","Fri Jul 05 02:15:45 GMT 2024","32214","firefox","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 02:14:04 GMT 2024","Fri Jul 05 02:14:06 GMT 2024","1651","firefox","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 02:16:14 GMT 2024","Fri Jul 05 02:16:16 GMT 2024","1919","webkit","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 02:13:59 GMT 2024","Fri Jul 05 02:14:02 GMT 2024","2849","firefox","sampleTest.spec.js","","","","Drop down",""
"broken","Fri Jul 05 02:17:21 GMT 2024","Fri Jul 05 02:17:52 GMT 2024","31208","webkit","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
