"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 05 13:34:13 GMT 2024","Fri Jul 05 13:34:18 GMT 2024","5223","firefox","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 13:34:21 GMT 2024","Fri Jul 05 13:34:23 GMT 2024","2682","firefox","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 13:34:07 GMT 2024","Fri Jul 05 13:34:10 GMT 2024","2639","chromium","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 13:34:10 GMT 2024","Fri Jul 05 13:34:12 GMT 2024","1752","chromium","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 13:34:36 GMT 2024","Fri Jul 05 13:34:41 GMT 2024","5184","webkit","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 13:34:15 GMT 2024","Fri Jul 05 13:34:21 GMT 2024","5592","firefox","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 13:34:36 GMT 2024","Fri Jul 05 13:34:39 GMT 2024","2634","webkit","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 13:34:23 GMT 2024","Fri Jul 05 13:34:27 GMT 2024","4053","firefox","sampleTest.spec.js","","","","Storage state",""
"passed","Fri Jul 05 13:34:18 GMT 2024","Fri Jul 05 13:34:22 GMT 2024","4594","firefox","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 13:34:41 GMT 2024","Fri Jul 05 13:34:50 GMT 2024","8769","webkit","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 13:34:41 GMT 2024","Fri Jul 05 13:34:45 GMT 2024","3778","webkit","sampleTest.spec.js","","","","Storage state",""
"passed","Fri Jul 05 13:34:21 GMT 2024","Fri Jul 05 13:34:27 GMT 2024","5704","firefox","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 13:34:39 GMT 2024","Fri Jul 05 13:34:41 GMT 2024","2680","webkit","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 13:34:12 GMT 2024","Fri Jul 05 13:34:21 GMT 2024","8938","chromium","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 13:34:10 GMT 2024","Fri Jul 05 13:34:12 GMT 2024","1627","chromium","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"broken","Fri Jul 05 13:35:26 GMT 2024","Fri Jul 05 13:35:58 GMT 2024","31517","firefox","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 13:34:12 GMT 2024","Fri Jul 05 13:34:14 GMT 2024","2752","chromium","sampleTest.spec.js","","","","Storage state",""
"passed","Fri Jul 05 13:34:07 GMT 2024","Fri Jul 05 13:34:12 GMT 2024","4252","chromium","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 13:34:07 GMT 2024","Fri Jul 05 13:34:10 GMT 2024","2791","chromium","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 13:34:29 GMT 2024","Fri Jul 05 13:34:36 GMT 2024","7361","webkit","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 13:34:29 GMT 2024","Fri Jul 05 13:34:36 GMT 2024","6679","webkit","sampleTest.spec.js","","","","Drop down",""
