"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 05 13:36:25 GMT 2024","Fri Jul 05 13:36:57 GMT 2024","31560","firefox","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 13:35:22 GMT 2024","Fri Jul 05 13:35:27 GMT 2024","4162","firefox","sampleTest.spec.js","","","","Storage state",""
"passed","Fri Jul 05 13:35:08 GMT 2024","Fri Jul 05 13:35:10 GMT 2024","2508","chromium","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 13:35:18 GMT 2024","Fri Jul 05 13:35:22 GMT 2024","4339","firefox","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 13:35:21 GMT 2024","Fri Jul 05 13:35:26 GMT 2024","5151","firefox","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 13:35:12 GMT 2024","Fri Jul 05 13:35:20 GMT 2024","8444","chromium","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 13:35:10 GMT 2024","Fri Jul 05 13:35:12 GMT 2024","1471","chromium","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 13:35:15 GMT 2024","Fri Jul 05 13:35:20 GMT 2024","5129","firefox","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 13:35:36 GMT 2024","Fri Jul 05 13:35:41 GMT 2024","5069","webkit","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 13:35:41 GMT 2024","Fri Jul 05 13:35:44 GMT 2024","3539","webkit","sampleTest.spec.js","","","","Storage state",""
"passed","Fri Jul 05 13:35:13 GMT 2024","Fri Jul 05 13:35:18 GMT 2024","4711","firefox","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 13:35:12 GMT 2024","Fri Jul 05 13:35:14 GMT 2024","2324","chromium","sampleTest.spec.js","","","","Storage state",""
"passed","Fri Jul 05 13:35:36 GMT 2024","Fri Jul 05 13:35:38 GMT 2024","2473","webkit","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 13:35:41 GMT 2024","Fri Jul 05 13:35:49 GMT 2024","8484","webkit","sampleTest.spec.js","","","","New window Alert pop up frame @prompt",""
"passed","Fri Jul 05 13:35:20 GMT 2024","Fri Jul 05 13:35:22 GMT 2024","2405","firefox","sampleTest.spec.js","","","","Confirmation alert @prompt",""
"passed","Fri Jul 05 13:35:08 GMT 2024","Fri Jul 05 13:35:12 GMT 2024","4010","chromium","sampleTest.spec.js","","","","Web table and dates",""
"passed","Fri Jul 05 13:35:10 GMT 2024","Fri Jul 05 13:35:12 GMT 2024","1592","chromium","sampleTest.spec.js","","","","Alert @prompt",""
"passed","Fri Jul 05 13:35:28 GMT 2024","Fri Jul 05 13:35:36 GMT 2024","7821","webkit","sampleTest.spec.js","","","","Drop down",""
"passed","Fri Jul 05 13:35:08 GMT 2024","Fri Jul 05 13:35:10 GMT 2024","2612","chromium","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 13:35:28 GMT 2024","Fri Jul 05 13:35:36 GMT 2024","8059","webkit","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Fri Jul 05 13:35:38 GMT 2024","Fri Jul 05 13:35:41 GMT 2024","2314","webkit","sampleTest.spec.js","","","","Alert @prompt",""
